Serie,Habitat,Site,Exposure,Depht,Transect,Quad,Subcategory,Cover
1,Kelp,Los Molles,Exposed,Deep,1,1,Boulder,0
2,Kelp,Los Molles,Exposed,Deep,1,1,Conchuela,0
3,Kelp,Los Molles,Exposed,Deep,1,1,Rock,0
4,Kelp,Los Molles,Exposed,Deep,1,1,Rock,0
5,Kelp,Los Molles,Exposed,Deep,1,1,Rock,0
6,Kelp,Los Molles,Exposed,Deep,1,1,Rock,0
7,Kelp,Los Molles,Exposed,Deep,1,1,Sand,0
8,Kelp,Los Molles,Exposed,Deep,1,1,Corallina spp.,0
9,Kelp,Los Molles,Exposed,Deep,1,1,Crustosa verde,16.66666667
10,Kelp,Los Molles,Exposed,Deep,1,1,Gelidium spp.,0
11,Kelp,Los Molles,Exposed,Deep,1,1,Hildenbrandia,12.5
12,Kelp,Los Molles,Exposed,Deep,1,1,Algae indet,0
13,Kelp,Los Molles,Exposed,Deep,1,1,Lessonia,0
14,Kelp,Los Molles,Exposed,Deep,1,1,Lithothamnium,58.33333333
15,Kelp,Los Molles,Exposed,Deep,1,1,Filamentous,0
16,Kelp,Los Molles,Exposed,Deep,1,1,Filamentous,0
17,Kelp,Los Molles,Exposed,Deep,1,1,Ralfsia confusa,6.25
18,Kelp,Los Molles,Exposed,Deep,1,1,Lessonia skeleton,0
19,Kelp,Los Molles,Exposed,Deep,1,1,Anemona ,0
20,Kelp,Los Molles,Exposed,Deep,1,1,Calleporella,0
21,Kelp,Los Molles,Exposed,Deep,1,1,Chiton,0
22,Kelp,Los Molles,Exposed,Deep,1,1,Cirripedios,2.083333333
23,Kelp,Los Molles,Exposed,Deep,1,1,Crustaceo,0
24,Kelp,Los Molles,Exposed,Deep,1,1,Entalphora,0
25,Kelp,Los Molles,Exposed,Deep,1,1,Erizos,0
26,Kelp,Los Molles,Exposed,Deep,1,1,Estrella,0
27,Kelp,Los Molles,Exposed,Deep,1,1,Gastropodo,4.166666667
28,Kelp,Los Molles,Exposed,Deep,1,1,Heliaster helianthus,0
29,Kelp,Los Molles,Exposed,Deep,1,1,Hidrozoo,0
30,Kelp,Los Molles,Exposed,Deep,1,1,Opistobranchio,0
31,Kelp,Los Molles,Exposed,Deep,1,1,Sponge,0
32,Kelp,Los Molles,Exposed,Deep,1,1,Poliqueto,0
33,Kelp,Los Molles,Exposed,Deep,1,1,Tunicado,0
34,Kelp,Los Molles,Exposed,Deep,1,1,Peces,0
35,Kelp,Los Molles,Exposed,Deep,1,1,Shadow,4
36,Kelp,Los Molles,Exposed,Deep,1,1,Tape,0
37,Kelp,Los Molles,Exposed,Deep,1,1,Wand,0
38,Kelp,Los Molles,Exposed,Deep,1,2,Boulder,0
39,Kelp,Los Molles,Exposed,Deep,1,2,Conchuela,0
40,Kelp,Los Molles,Exposed,Deep,1,2,Rock,0
41,Kelp,Los Molles,Exposed,Deep,1,2,Rock,0
42,Kelp,Los Molles,Exposed,Deep,1,2,Rock,0
43,Kelp,Los Molles,Exposed,Deep,1,2,Rock,0
44,Kelp,Los Molles,Exposed,Deep,1,2,Sand,0
45,Kelp,Los Molles,Exposed,Deep,1,2,Corallina spp.,0
