"","Site","Exposure","Depth","Transect","Quad","Major.Category","Porcentaje"
"1","Los Molles","Exposed","Deep",1,1,"Algae indet",0
"2","Los Molles","Exposed","Deep",1,1,"Articulated Calcareous",0
"3","Los Molles","Exposed","Deep",1,1,"Corticated",0
"4","Los Molles","Exposed","Deep",1,1,"Crustose",93.75
"5","Los Molles","Exposed","Deep",1,1,"Filamentous",0
"6","Los Molles","Exposed","Deep",1,1,"Fish",0
"7","Los Molles","Exposed","Deep",1,1,"Invertebrates",6.25
"8","Los Molles","Exposed","Deep",1,1,"Leathery",0
"9","Los Molles","Exposed","Deep",1,1,"Substrate",0
"10","Los Molles","Exposed","Deep",1,1,"TWS",4
"11","Los Molles","Exposed","Deep",1,1,NA,0
"12","Los Molles","Exposed","Deep",1,2,"Algae indet",0
"13","Los Molles","Exposed","Deep",1,2,"Articulated Calcareous",0
"14","Los Molles","Exposed","Deep",1,2,"Corticated",0
"15","Los Molles","Exposed","Deep",1,2,"Crustose",81.25
"16","Los Molles","Exposed","Deep",1,2,"Filamentous",14.58333333
"17","Los Molles","Exposed","Deep",1,2,"Fish",0
"18","Los Molles","Exposed","Deep",1,2,"Invertebrates",4.166666667
"19","Los Molles","Exposed","Deep",1,2,"Leathery",0
"20","Los Molles","Exposed","Deep",1,2,"Substrate",0
"21","Los Molles","Exposed","Deep",1,2,"TWS",4
"22","Los Molles","Exposed","Deep",1,2,NA,0
"23","Los Molles","Exposed","Deep",1,3,"Algae indet",0
"24","Los Molles","Exposed","Deep",1,3,"Articulated Calcareous",0
"25","Los Molles","Exposed","Deep",1,3,"Corticated",0
"26","Los Molles","Exposed","Deep",1,3,"Crustose",88.0952381
"27","Los Molles","Exposed","Deep",1,3,"Filamentous",11.9047619
"28","Los Molles","Exposed","Deep",1,3,"Fish",0
"29","Los Molles","Exposed","Deep",1,3,"Invertebrates",0
"30","Los Molles","Exposed","Deep",1,3,"Leathery",0
"31","Los Molles","Exposed","Deep",1,3,"Substrate",0
"32","Los Molles","Exposed","Deep",1,3,"TWS",16
"33","Los Molles","Exposed","Deep",1,3,NA,0
"34","Los Molles","Exposed","Deep",1,4,"Algae indet",2.083333333
"35","Los Molles","Exposed","Deep",1,4,"Articulated Calcareous",0
"36","Los Molles","Exposed","Deep",1,4,"Corticated",0
"37","Los Molles","Exposed","Deep",1,4,"Crustose",93.75
"38","Los Molles","Exposed","Deep",1,4,"Filamentous",0
"39","Los Molles","Exposed","Deep",1,4,"Fish",0
"40","Los Molles","Exposed","Deep",1,4,"Invertebrates",4.166666666
"41","Los Molles","Exposed","Deep",1,4,"Leathery",0
"42","Los Molles","Exposed","Deep",1,4,"Substrate",0
