Institution,Project Name,Station,Location,Country,Site Name,Site ID,Site Code,Latitude,Longitude,Easting,Northing,Projection,Datum,Transect,Transect Dir.,Transect Length,Depth,Quad,Habitat,Water Qual.,Image Date,Image Time,Photographer,Camera,Lens,Analysis Date,Analysis Tech.,File Name,Image Name,Total Points,Point #,Class ID,ID Name,ID Code,Subcategory,Major Category,Notes,X,Y
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,1,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,2,1,Porites lobata,,Por,Coral,,2714,1111
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,3,1,Porites lobata,,Por,Coral,,1992,1503
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,4,1,Porites lobata,,Por,Coral,,1586,1625
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,5,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,6,1,Porites lobata,,Por,Coral,,2599,1177
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,7,1,Porites lobata,,Por,Coral,,1978,2318
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,8,1,Porites lobata,,Por,Coral,,769,1028
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,9,1,Porites lobata,,Por,Coral,,1419,812
,F1151094,,Rapanui,Chile,Frente Hotel,Fp,,,,,,,,1,,25,15,1,Coral,,May-16,,,,gran angular,,Cata,C:\CPCe_41_inst\rapanui2016\FpT1Q2IMG_0318.cpc,E:\Understory\Rapanui\2016\FpT1Q2IMG_0318.JPG,50,10,1,Porites lobata,,Por,Coral,,813,1103
