"","Year","Site","Depth","Transect","Quad","Major.Category","Porcentaje"
"1",2016,"El Frances",5,1,1,"Articulated Calcareous",28
"2",2016,"El Frances",5,1,1,"Corticated",6
"3",2016,"El Frances",5,1,1,"Corticated foliose",6
"4",2016,"El Frances",5,1,1,"Crustose",2
"5",2016,"El Frances",5,1,1,"Filamentous",16
"6",2016,"El Frances",5,1,1,"Foliose",10
"7",2016,"El Frances",5,1,1,"INDET algae",26
"8",2016,"El Frances",5,1,1,"tape, wand, shadow",6
"9",2016,"El Frances",5,1,2,"Articulated Calcareous",36
"10",2016,"El Frances",5,1,2,"Corticated foliose",12
"11",2016,"El Frances",5,1,2,"Crustose",12
"12",2016,"El Frances",5,1,2,"Filamentous",6
"13",2016,"El Frances",5,1,2,"Foliose",4
"14",2016,"El Frances",5,1,2,"INDET algae",24
"15",2016,"El Frances",5,1,2,"sand, pavimment, rubble",2
"16",2016,"El Frances",5,1,2,"tape, wand, shadow",4
"17",2016,"El Frances",5,1,3,"Articulated Calcareous",34
"18",2016,"El Frances",5,1,3,"Corticated",28
"19",2016,"El Frances",5,1,3,"Corticated foliose",22
"20",2016,"El Frances",5,1,3,"Foliose",4
"21",2016,"El Frances",5,1,3,"INDET algae",4
"22",2016,"El Frances",5,1,3,"Invertebrados",2
"23",2016,"El Frances",5,1,3,"tape, wand, shadow",6
"24",2016,"El Frances",5,1,4,"Articulated Calcareous",26
"25",2016,"El Frances",5,1,4,"Corticated",2
"26",2016,"El Frances",5,1,4,"Corticated foliose",48
"27",2016,"El Frances",5,1,4,"Crustose",4
"28",2016,"El Frances",5,1,4,"Foliose",6
"29",2016,"El Frances",5,1,4,"INDET algae",6
"30",2016,"El Frances",5,1,4,"sand, pavimment, rubble",4
"31",2016,"El Frances",5,1,4,"tape, wand, shadow",4
"32",2016,"El Frances",5,1,5,"Articulated Calcareous",36
"33",2016,"El Frances",5,1,5,"Corticated foliose",18
"34",2016,"El Frances",5,1,5,"Foliose",34
"35",2016,"El Frances",5,1,5,"INDET algae",6
"36",2016,"El Frances",5,1,5,"Invertebrados",2
"37",2016,"El Frances",5,1,5,"sand, pavimment, rubble",2
"38",2016,"El Frances",5,1,5,"tape, wand, shadow",2
"39",2016,"El Frances",5,2,1,"Articulated Calcareous",30
"40",2016,"El Frances",5,2,1,"Corticated",4
"41",2016,"El Frances",5,2,1,"Corticated foliose",44
"42",2016,"El Frances",5,2,1,"Crustose",2
"43",2016,"El Frances",5,2,1,"Foliose",6
"44",2016,"El Frances",5,2,1,"INDET algae",8
"45",2016,"El Frances",5,2,1,"tape, wand, shadow",6
"46",2016,"El Frances",5,2,2,"Articulated Calcareous",26
"47",2016,"El Frances",5,2,2,"Corticated",36
"48",2016,"El Frances",5,2,2,"Corticated foliose",4
"49",2016,"El Frances",5,2,2,"Crustose",2
"50",2016,"El Frances",5,2,2,"Filamentous",8
"51",2016,"El Frances",5,2,2,"Foliose",2
