Institution;Project Name;Station;Location;Country;Site Name;Site ID;Site Code;Latitude;Longitude;Easting;Northing;Projection;Datum;Transect;Transect Dir.;Transect Length;Depth;Quad;Habitat;Water Qual.;Image Date;Image Time;Photographer;Camera;Lens;Analysis Date;Analysis Tech.;File Name;Image Name;Total Points;Point #;Class ID;ID Name;ID Code;Subcategory;Major Category;Notes;X;Y
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;1;1;Porites lobata;;Por;Coral;;3446;1416
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;2;1;Porites lobata;;Por;Coral;;2821;1992
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;3;;Diadema;;Dia;Invertebrates;;1874;1333
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;4;1;Porites lobata;;Por;Coral;;1937;2039
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;5;1;Porites lobata;;Por;Coral;;888;1172
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;6;1;Porites lobata;;Por;Coral;;1242;894
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;7;1;Porites lobata;;Por;Coral;;3467;1289
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;8;1;Porites lobata;;Por;Coral;;865;2282
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;9;1;Porites lobata;;Por;Coral;;1583;1117
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;10;1;Porites lobata;;Por;Coral;;2310;2256
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;11;1;Porites lobata;;Por;Coral;;737;1791
;F1151094;;Rapanui;Chile;La Perouse;Lp;;;;;;;;1;;;15;1;Coral;;2016;;;;Gran Angular;;Cata;C:\CPCe_41_inst\rapanui2016\LpT1Q1IMG_0020.cpc;E:\Understory\Rapanui\2016\LpT1Q1IMG_0020.JPG;50;12;1;Porites lobata;;Por;Coral;;1182;746
