Institution;Project_Name;Station;Location;Country;Site_Name;Site_ID;Site_Code;Latitude;Longitude;Easting;Northing;Projection;Datum;Transect;Transect_Direction;Transect_Length;Depth;Quad;Habitat;Water_Quality;Image_Date;Image_Time;Photographer;Camera;Lens;Analysis_Date;Analysis_Tech;File_Name;Image_Name;Total_Points;Point_Number;Class_ID;ID_Name;ID_Code;Sub-category;Major_Category;Notes;X;Y
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;1;;Bolones;;BOL;sand, pavimment, rubble;;2261;1183
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;2;;Bolones;;BOL;sand, pavimment, rubble;CRpink;2219;768
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;3;;Bolones;;BOL;sand, pavimment, rubble;;845;1976
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;4;;Rubble;;R;sand, pavimment, rubble;CRpink;2629;2779
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;5;;Rubble;;R;sand, pavimment, rubble;;2960;2298
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;6;;Bolones;;BOL;sand, pavimment, rubble;;3550;1937
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;7;;Rubble;;R;sand, pavimment, rubble;;510;1367
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;8;;Rubble;;R;sand, pavimment, rubble;CRpink;2629;2707
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;9;;Bolones;;BOL;sand, pavimment, rubble;;342;669
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;10;;Rubble;;R;sand, pavimment, rubble;;2196;281
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;11;;Rubble;;R;sand, pavimment, rubble;;1868;2454
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;12;;Bolones;;BOL;sand, pavimment, rubble;CRpink;3157;699
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;13;;Bolones;;BOL;sand, pavimment, rubble;CRpink;2725;1435
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;14;;Bolones;;BOL;sand, pavimment, rubble;;77;1012
;F1154094;;Juan Fernandez;Chile;Loberia;;LB;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1395.JPG;50;15;;Conchas;;CON;sand, pavimment, rubble;;1377;2533
