Institution,Project Name,Station,Location,Country,Site Name,Site ID,Site Code,Latitude,Longitude,Easting,Northing,Projection,Datum,Transect,Transect Dir.,Transect Length,Depth,Quad,Habitat,Water Qual.,Image Date,Image Time,Photographer,Camera,Lens,Analysis Date,Analysis Tech.,File Name,Image Name,Total Points,Point #,Class ID,ID Name,ID Code,Subcategory,Major Category,Notes,X,Y
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,1,1,Pocillopora spp,,Poc,Coral,,1202,1983
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,2,1,Porites lobata,,Por,Coral,,1371,666
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,3,1,Pocillopora spp,,Poc,Coral,,700,529
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,4,1,Pocillopora spp,,Poc,Coral,,2864,1568
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,5,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,6,1,Pocillopora spp,,Poc,Coral,,976,1476
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,7,1,Porites lobata,,Por,Coral,,1602,2194
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,8,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,9,1,Porites lobata,,Por,Coral,,1998,2258
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,10,,Porites dead,,DPor,Dead Coral Algae,,2767,1575
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,11,,Shadow,,Sha,Tape,,,
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,12,1,Pocillopora spp,,Poc,Coral,,2554,1919
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,13,1,Pocillopora spp,,Poc,Coral,,1726,1291
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,14,,Porites dead,,DPor,Dead Coral Algae,pelbrown,2367,1538
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,15,1,Porites lobata,,Por,Coral,,2007,2324
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,16,1,Pocillopora spp,,Poc,Coral,,2464,1518
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,17,1,Pocillopora spp,,Poc,Coral,,1679,769
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,18,1,Pocillopora spp,,Poc,Coral,,1245,1481
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,19,1,Porites lobata,,Por,Coral,,2808,1863
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,20,1,Pocillopora spp,,Poc,Coral,,1480,482
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,21,1,Porites lobata,,Por,Coral,,2939,1813
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,22,1,Pocillopora spp,,Poc,Coral,,1159,1437
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,23,1,Pocillopora spp,,Poc,Coral,,2616,1943
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,24,1,Pocillopora spp,,Poc,Coral,,2708,1289
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,25,1,Pocillopora spp,,Poc,Coral,,3304,1644
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,26,2,Rock con algas,,R+,Substrate,,2108,525
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,27,1,Porites lobata,,Por,Coral,,1810,1712
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,28,1,Pocillopora spp,,Poc,Coral,,1201,1841
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,29,1,Pocillopora spp,,Poc,Coral,,2406,656
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,30,1,Porites lobata,,Por,Coral,,859,1041
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,31,1,Pocillopora spp,,Poc,Coral,,2296,1923
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,32,1,Porites lobata,,Por,Coral,,3126,2100
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,33,1,Pocillopora spp,,Poc,Coral,,862,484
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,34,,Pocillopora dead,,DPoc,Dead Coral Algae,,2962,908
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,35,1,Pocillopora spp,,Poc,Coral,,1168,1623
,F1151094,,Rapanui,Chile,Motu tautara,Mp,,,,,,,,1,,,15,1,Coral,,2016,,,,Gran Angular,,Cata,C:\CPCe_41_inst\rapanui2016\MpT1Q3IMG_0500.cpc,E:\Understory\Rapanui\2016\MpT1Q3IMG_0500.JPG,50,36,,Equinometra,,Equi,Invertebrates,,991,1723
