,Habitat,Site.Name,Transect,Depth,Quad,File.Name,Point..,Major.Category,Subcategory,Notes,category,value
1,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,1,Coral,Por,,Por ,1
2,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,2,Coral,Por,,Por ,1
3,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,3,Coral,Por,,Por ,1
4,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,4,Coral,Por,,Por ,1
5,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,5,Dead Coral Algae,DPor,,DPor ,1
6,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,6,Coral,Por,,Por ,1
7,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,7,Coral,Por,,Por ,1
8,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,8,Coral,Por,,Por ,1
9,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,9,Coral,Por,,Por ,1
10,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,10,Dead Coral Algae,DPor,Hal,DPor Hal,1
11,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,11,Coral,Por,,Por ,1
12,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,12,Dead Coral Algae,DPor,,DPor ,1
13,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,13,Coral,Por,,Por ,1
14,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,14,Dead Coral Algae,DPor,pelgre,DPor pelgre,1
15,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,15,Dead Coral Algae,DPoc,,DPoc ,1
16,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,16,Coral,Por,,Por ,1
17,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,17,Coral,Por,,Por ,1
18,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,18,"Tape, Wand, Shadow",Sha,,Sha ,1
19,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,19,Coral,Por,,Por ,1
20,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,20,Dead Coral Algae,DPor,Hal,DPor Hal,1
21,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,21,Coral,Por,,Por ,1
22,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,22,Coral,Dporfree,,Dporfree ,1
23,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,23,Coral,Por,,Por ,1
24,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,24,Coral,Por,,Por ,1
25,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,25,Coral,Por,,Por ,1
26,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,26,Coral,Por,,Por ,1
27,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,27,Coral,Por,,Por ,1
28,Coral,Anakena,1,15,1,C:\CPCe_41_inst\rapanui2016\ApT1Q10IMG_0163.cpc,28,"Tape, Wand, Shadow",Sha,,Sha ,1
