Year,Habitat,Site.Name,Depth,Transect,Quad,File.Name,Point..,Major.Category,Subcategory,Notes
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,1,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,3,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,4,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,5,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,6,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,7,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,9,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,10,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,11,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,13,DCA,DPor,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,14,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,16,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,19,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,20,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,21,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,22,DCA,Dpor,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,23,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,25,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,28,DCA,Dpor,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,30,DCA,Dpor,pelred
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,31,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,35,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,36,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,37,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,38,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,39,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,41,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,42,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,45,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,46,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,48,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,50,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,51,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,54,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,56,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,57,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,59,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,60,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,62,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,65,DCA,Dpor,pelbrown
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,66,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,67,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,68,DCA,Dpor,Hal
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,69,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,70,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,74,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,75,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,76,Cor,Por,
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,78,DCA,Dpor,pelbrown
2017,Coral,Anakena,15,1,1,AnT1Q1IMG_2745,79,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,1,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,2,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,5,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,6,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,7,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,8,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,10,Cor,Poc,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,11,Substrate,S,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,12,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,13,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,14,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,15,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,16,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,18,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,19,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,20,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,21,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,22,Cor,Por,
2017,Coral,Anakena,15,1,2,AnT1Q2IMG_2746,23,Cor,Por,
