"","Year","Site","Depth","Transect","Quad","Major.Category","Porcentaje"
"1",2016,"Anakena",5,1,1,"Coral",70
"2",2016,"Anakena",5,1,1,"CoralMuerto",12
"3",2016,"Anakena",5,1,1,"Substrate",16
"4",2016,"Anakena",5,1,1,"TWS",2
"5",2016,"Anakena",5,1,2,"Coral",94
"6",2016,"Anakena",5,1,2,"CoralMuerto",4
"7",2016,"Anakena",5,1,2,"Substrate",2
"8",2016,"Anakena",5,1,3,"Coral",36
"9",2016,"Anakena",5,1,3,"Substrate",62
"10",2016,"Anakena",5,1,3,"TWS",2
"11",2016,"Anakena",5,1,4,"Coral",96
"12",2016,"Anakena",5,1,4,"Substrate",4
"13",2016,"Anakena",5,1,5,"Coral",50
"14",2016,"Anakena",5,1,5,"Substrate",50
"15",2016,"Anakena",5,2,1,"Invertebrados",6
"16",2016,"Anakena",5,2,1,"Substrate",94
"17",2016,"Anakena",5,2,2,"Coral",62
"18",2016,"Anakena",5,2,2,"CoralMuerto",18
"19",2016,"Anakena",5,2,2,"Invertebrados",2
"20",2016,"Anakena",5,2,2,"Substrate",16
"21",2016,"Anakena",5,2,2,"TWS",2
"22",2016,"Anakena",5,2,3,"Algas",4
"23",2016,"Anakena",5,2,3,"Coral",12
"24",2016,"Anakena",5,2,3,"Substrate",84
"25",2016,"Anakena",5,2,4,"Algas",4
"26",2016,"Anakena",5,2,4,"CoralMuerto",96
"27",2016,"Anakena",5,2,5,"Coral",30
"28",2016,"Anakena",5,2,5,"Invertebrados",2
"29",2016,"Anakena",5,2,5,"Substrate",66
"30",2016,"Anakena",5,2,5,"TWS",2
"31",2016,"Anakena",5,3,1,"Coral",84
"32",2016,"Anakena",5,3,1,"CoralMuerto",16
"33",2016,"Anakena",5,3,2,"Coral",78
"34",2016,"Anakena",5,3,2,"CoralMuerto",2
"35",2016,"Anakena",5,3,2,"Substrate",20
"36",2016,"Anakena",5,3,3,"Invertebrados",12
"37",2016,"Anakena",5,3,3,"Substrate",88
"38",2016,"Anakena",5,3,4,"Algas",2
"39",2016,"Anakena",5,3,4,"Coral",42
"40",2016,"Anakena",5,3,4,"Substrate",56
"41",2016,"Anakena",5,3,5,"Coral",96
"42",2016,"Anakena",5,3,5,"CoralMuerto",4
"43",2016,"Anakena",15,1,1,"Coral",64
"44",2016,"Anakena",15,1,1,"CoralMuerto",20
"45",2016,"Anakena",15,1,1,"Invertebrados",6
"46",2016,"Anakena",15,1,1,"TWS",10
"47",2016,"Anakena",15,1,2,"Algas",2
"48",2016,"Anakena",15,1,2,"Coral",86
"49",2016,"Anakena",15,1,2,"CoralMuerto",12
"50",2016,"Anakena",15,1,3,"Coral",82
"51",2016,"Anakena",15,1,3,"Substrate",16
"52",2016,"Anakena",15,1,3,"TWS",2
"53",2016,"Anakena",15,1,4,"Algas",2
"54",2016,"Anakena",15,1,4,"Coral",94
"55",2016,"Anakena",15,1,4,"TWS",4
"56",2016,"Anakena",15,1,5,"Algas",10
"57",2016,"Anakena",15,1,5,"Coral",88
"58",2016,"Anakena",15,1,5,"CoralMuerto",2
"59",2016,"Anakena",15,2,1,"Coral",88
"60",2016,"Anakena",15,2,1,"CoralMuerto",2
"61",2016,"Anakena",15,2,1,"Substrate",8
"62",2016,"Anakena",15,2,1,"TWS",2
"63",2016,"Anakena",15,2,2,"Algas",18
"64",2016,"Anakena",15,2,2,"Coral",68
"65",2016,"Anakena",15,2,2,"CoralMuerto",10
"66",2016,"Anakena",15,2,2,"Substrate",2
"67",2016,"Anakena",15,2,2,"TWS",2
"68",2016,"Anakena",15,2,3,"Coral",100
"69",2016,"Anakena",15,2,4,"Algas",12
"70",2016,"Anakena",15,2,4,"Coral",82
"71",2016,"Anakena",15,2,4,"Substrate",6
"72",2016,"Anakena",15,2,5,"Algas",2
"73",2016,"Anakena",15,2,5,"Coral",70
"74",2016,"Anakena",15,2,5,"CoralMuerto",20
"75",2016,"Anakena",15,2,5,"Invertebrados",4
"76",2016,"Anakena",15,2,5,"TWS",4
"77",2016,"Anakena",15,3,1,"Algas",4
"78",2016,"Anakena",15,3,1,"Coral",82
"79",2016,"Anakena",15,3,1,"CoralMuerto",2
"80",2016,"Anakena",15,3,1,"Substrate",8
"81",2016,"Anakena",15,3,1,"TWS",4
"82",2016,"Anakena",15,3,2,"Coral",100
"83",2016,"Anakena",15,3,3,"Algas",10
"84",2016,"Anakena",15,3,3,"Coral",76
"85",2016,"Anakena",15,3,3,"CoralMuerto",10
"86",2016,"Anakena",15,3,3,"TWS",4
"87",2016,"Anakena",15,3,4,"Algas",4
"88",2016,"Anakena",15,3,4,"Coral",78
"89",2016,"Anakena",15,3,4,"CoralMuerto",12
"90",2016,"Anakena",15,3,4,"TWS",6
"91",2016,"Anakena",15,3,5,"Algas",8
"92",2016,"Anakena",15,3,5,"Coral",92
"93",2016,"Frente Hotel",5,1,1,"Coral",54
"94",2016,"Frente Hotel",5,1,1,"CoralMuerto",2
"95",2016,"Frente Hotel",5,1,1,"Invertebrados",8
"96",2016,"Frente Hotel",5,1,1,"Substrate",8
"97",2016,"Frente Hotel",5,1,1,"TWS",28
"98",2016,"Frente Hotel",5,1,2,"Algas",2
"99",2016,"Frente Hotel",5,1,2,"Coral",28
"100",2016,"Frente Hotel",5,1,2,"CoralMuerto",6
"101",2016,"Frente Hotel",5,1,2,"Invertebrados",2
"102",2016,"Frente Hotel",5,1,2,"Substrate",40
"103",2016,"Frente Hotel",5,1,2,"TWS",22
"104",2016,"Frente Hotel",5,1,3,"Substrate",94
"105",2016,"Frente Hotel",5,1,3,"TWS",6
"106",2016,"Frente Hotel",5,1,4,"Coral",30
"107",2016,"Frente Hotel",5,1,4,"Invertebrados",12
"108",2016,"Frente Hotel",5,1,4,"Substrate",42
"109",2016,"Frente Hotel",5,1,4,"TWS",16
"110",2016,"Frente Hotel",5,1,5,"Coral",6
"111",2016,"Frente Hotel",5,1,5,"Invertebrados",4
"112",2016,"Frente Hotel",5,1,5,"Substrate",72
"113",2016,"Frente Hotel",5,1,5,"TWS",18
"114",2016,"Frente Hotel",5,2,1,"Coral",24
"115",2016,"Frente Hotel",5,2,1,"CoralMuerto",2
"116",2016,"Frente Hotel",5,2,1,"Invertebrados",2
"117",2016,"Frente Hotel",5,2,1,"Substrate",36
"118",2016,"Frente Hotel",5,2,1,"TWS",36
"119",2016,"Frente Hotel",5,2,2,"Coral",32
"120",2016,"Frente Hotel",5,2,2,"Invertebrados",2
"121",2016,"Frente Hotel",5,2,2,"Substrate",44
"122",2016,"Frente Hotel",5,2,2,"TWS",22
"123",2016,"Frente Hotel",5,2,3,"Coral",68
"124",2016,"Frente Hotel",5,2,3,"Substrate",12
"125",2016,"Frente Hotel",5,2,3,"TWS",20
"126",2016,"Frente Hotel",5,2,4,"Algas",2
"127",2016,"Frente Hotel",5,2,4,"Coral",22
"128",2016,"Frente Hotel",5,2,4,"Invertebrados",2
"129",2016,"Frente Hotel",5,2,4,"Substrate",56
"130",2016,"Frente Hotel",5,2,4,"TWS",18
"131",2016,"Frente Hotel",5,2,5,"Coral",16
"132",2016,"Frente Hotel",5,2,5,"Invertebrados",2
"133",2016,"Frente Hotel",5,2,5,"Substrate",76
"134",2016,"Frente Hotel",5,2,5,"TWS",6
"135",2016,"Frente Hotel",5,3,1,"Coral",56
"136",2016,"Frente Hotel",5,3,1,"Substrate",32
"137",2016,"Frente Hotel",5,3,1,"TWS",12
"138",2016,"Frente Hotel",5,3,2,"Algas",2
"139",2016,"Frente Hotel",5,3,2,"Coral",28
"140",2016,"Frente Hotel",5,3,2,"CoralMuerto",2
"141",2016,"Frente Hotel",5,3,2,"Substrate",52
"142",2016,"Frente Hotel",5,3,2,"TWS",16
"143",2016,"Frente Hotel",5,3,3,"Algas",2
"144",2016,"Frente Hotel",5,3,3,"Invertebrados",2
"145",2016,"Frente Hotel",5,3,3,"Substrate",42
"146",2016,"Frente Hotel",5,3,3,"TWS",54
"147",2016,"Frente Hotel",5,3,4,"Coral",2
"148",2016,"Frente Hotel",5,3,4,"Substrate",82
"149",2016,"Frente Hotel",5,3,4,"TWS",16
"150",2016,"Frente Hotel",5,3,5,"Substrate",98
"151",2016,"Frente Hotel",5,3,5,"TWS",2
"152",2016,"Frente Hotel",15,1,1,"Algas",2
"153",2016,"Frente Hotel",15,1,1,"Coral",76
"154",2016,"Frente Hotel",15,1,1,"CoralMuerto",4
"155",2016,"Frente Hotel",15,1,1,"TWS",18
"156",2016,"Frente Hotel",15,1,2,"Coral",82
"157",2016,"Frente Hotel",15,1,2,"CoralMuerto",4
"158",2016,"Frente Hotel",15,1,2,"TWS",14
