Institution;Project_Name;Station;Location;Country;Site_Name;Site_ID;Site_Code;Latitude;Longitude;Easting;Northing;Projection;Datum;Transect;Transect_Direction;Transect_Length;Depth;Quad;Habitat;Water_Quality;Image_Date;Image_Time;Photographer;Camera;Lens;Analysis_Date;Analysis_Tech;File_Name;Image_Name;Total_Points;Point_Number;Class_ID;ID_Name;ID_Code;Sub-category;Major_Category;Notes;X;Y
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;1;;Roca;;RO;sand, pavimment, rubble;;2189;1158
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;2;;Roca;;RO;sand, pavimment, rubble;;1432;940
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;3;;Bolones;;BOL;sand, pavimment, rubble;CRpink;3038;1908
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;4;;Shadow;;S;tape, wand, shadow;;1006;35
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;5;;Roca;;RO;sand, pavimment, rubble;;2060;2698
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;6;;Shadow;;S;tape, wand, shadow;;192;1247
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;7;;Shadow;;S;tape, wand, shadow;;3833;1
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;8;;Roca;;RO;sand, pavimment, rubble;;2108;2748
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;9;;Roca;;RO;sand, pavimment, rubble;;2891;956
;F1154094;;Juan Fernandez;Chile;Sal si puedes;;SSP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1507.JPG;50;10;;Roca;;RO;sand, pavimment, rubble;;968;88
