Institution;Project_Name;Station;Location;Country;Site_Name;Site_ID;Site_Code;Latitude;Longitude;Easting;Northing;Projection;Datum;Transect;Transect_Direction;Transect_Length;Depth;Quad;Habitat;Water_Quality;Image_Date;Image_Time;Photographer;Camera;Lens;Analysis_Date;Analysis_Tech;File_Name;Image_Name;Total_Points;Point_Number;Class_ID;ID_Name;ID_Code;Sub-category;Major_Category;Notes;X;Y
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;1;;Indeterminado;;INDET;Algae;;10;164
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;2;;Padina fernandeziana;;PAD;Algae;;3486;759
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;3;;Colpomenia sinuosa;;COLP;Algae;;3104;2143
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;4;;Colpomenia sinuosa;;COLP;Algae;TITA;3732;36
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;5;;Colpomenia sinuosa;;COLP;Algae;;2593;2182
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;6;;Colpomenia sinuosa;;COLP;Algae;TITA;1789;308
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;7;;Colpomenia sinuosa;;COLP;Algae;;1115;119
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;8;;Cladophora/Chaetomorpha;;Filgreen;Algae;;2771;487
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;9;;Colpomenia sinuosa;;COLP;Algae;TITA;1593;265
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;10;;Colpomenia sinuosa;;COLP;Algae;;3793;2054
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;11;;Colpomenia sinuosa;;COLP;Algae;;1124;2336
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;12;;Shadow;;S;tape, wand, shadow;;3264;2403
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;13;;Colpomenia sinuosa;;COLP;Algae;;2186;1812
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;14;;Colpomenia sinuosa;;COLP;Algae;;2328;1859
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;15;;Colpomenia sinuosa;;COLP;Algae;;934;2572
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;16;;Colpomenia sinuosa;;COLP;Algae;;2101;70
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;17;;Colpomenia sinuosa;;COLP;Algae;;2259;1563
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;18;;Dictyota sp.;;DICT;Algae;;307;112
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;19;;Distromium skottsbergii;;DIST;Algae;;903;2898
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;20;;Dictyota sp.;;DICT;Algae;;101;1940
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;21;;Colpomenia sinuosa;;COLP;Algae;;2287;997
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;22;;Shadow;;S;tape, wand, shadow;;3854;1077
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;23;;Bolones;;BOL;sand, pavimment, rubble;TITA;3721;2938
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;24;;Colpomenia sinuosa;;COLP;Algae;;867;1920
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;25;;Chondracantus intermedius;;CHON;Algae;;1155;864
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;26;;Gelidium pseudointricatum;;GEL;Algae;;2881;601
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;27;;Crustosa rosada;;CRpink;Algae;;3841;906
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;28;;Distromium skottsbergii;;DIST;Algae;TITA;3258;1309
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;29;;Shadow;;S;tape, wand, shadow;;3909;1452
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;30;;Colpomenia sinuosa;;COLP;Algae;;316;924
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;31;;Bolones;;BOL;sand, pavimment, rubble;;3105;2365
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;32;;Colpomenia sinuosa;;COLP;Algae;;2416;1139
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;33;;Shadow;;S;tape, wand, shadow;;3650;1530
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;34;;Shadow;;S;tape, wand, shadow;;3692;1091
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;35;;Colpomenia sinuosa;;COLP;Algae;;2726;1032
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;36;;Colpomenia sinuosa;;COLP;Algae;;2762;1501
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;37;;Indeterminado;;INDET;Algae;;109;263
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;38;;Shadow;;S;tape, wand, shadow;;3668;2032
;F1154094;;Juan Fernandez;Chile;Tres Puntas;;TP;;;;;;;1;;25;15;1;Foliose;;2016;;;gopro;;;Sofia;C:\Users\Administrador\Documents\Subelab\JF CPCe 2.0\IMG_1275.cpc;C:\Users\Administrador\Documents\Subelab\JF CPCe\IMG_1275.JPG;50;39;;Bolones;;BOL;sand, pavimment, rubble;;3516;2172
